ID	Snooker?	Name	Country	Latitude	Longitude	10' tables	12' tables	Address	Phone number	Website	POI id
	1	Enniskillen Snooker Hall	GBR			0	9	"Old Henry Street, Enniskillen, Fermanagh BT74 7JX, United Kingdom"	028 6632 5585	http://www.zodiacbingoenniskillen.co.uk/	
	1	Lisnaskea Snooker Hall	GBR			0	8	"Main St, Enniskillen BT92 0JD, United Kingdom"	028 6772 1568		
	1	Fairgreen Snooker Club	GBR			0	12	"2A Shillington St, Portadown, Craigavon BT62 3PF, United Kingdom"	028 3835 1190		
	1	Crumlin Snooker Club	GBR			0	5	"13 Main Street, Crumlin BT29 4UP, United Kingdom"	028 9445 3945		
	1	West Heath Snooker Club	GBR			0	10	"Alvechurch Road Lightning Way, Birmingham Area, Birmingham B31 3PH, United Kingdom"	0121 475 8437	http://www.westheathsnooker.com/	
	1	Tamworth Cue Sports Leisure Club	GBR			0	13	"32 Victoria Road, Tamworth, Staffordshire B79 7HS, United Kingdom"	01827 57995	http://thecueball.co.uk/cuesports-clubs/west-midlands/819-tamworth-cue-sports-leisure-club.html	
	1	Strategy 147	GBR			0	1	"13-15 Manchester Road, Barnoldswick BB18 5NZ, United Kingdom"	01282 816943		
	1	Alexandra Snooker Club	GBR			0	8	"5 Holme Street, Nelson BB9 9SS, United Kingdom"	01282 696837		
	1	Frame 3 Snooker Club	GBR			0	12	"Unit 3 Swan Lane Mill, Higher Swan Lane, Bolton, Lancashire BL3 3BJ, United Kingdom"	01204 653242	http://frame3.co.uk/	
	1	Central Snooker Club	GBR			0	6	"Abden Street, Radcliffe, Manchester M26 3AT, United Kingdom"	0161 723 1237		
	1	The Snooker Club	GBR			0	12	"Quay West Marina, 23 W Quay Rd, Poole, Dorset BH15 1HX, United Kingdom"	01202 777399	http://ambassadorsnooker.com/	
	1	Martock Snooker Centre	GBR			0	5	"Stapleton Road, Martock TA12 6HH, United Kingdom"	01935 826122	http://martocksnooker.com/	
	1	147 Snooker Centre	GBR			0	13	"12-14 St. Benedicts Court, Huntingdon PE29 3PN, United Kingdom"	01480 411641		
